subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,23074,2,3070,0,gameplay-adaptive,1070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,26075,2,6071,0,gameplay-adaptive,4071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,29092,2,9088,0,gameplay-adaptive,7088,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,32075,2,12071,0,gameplay-adaptive,10071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,35093,2,15089,0,gameplay-adaptive,13089,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,38093,2,18089,0,gameplay-adaptive,16089,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,41095,2,21091,0,gameplay-adaptive,19091,dynamic-0,0,1,playing,none,whitescreen.png,complete,75
,,44091,2,24087,0,gameplay-adaptive,22087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,47091,2,27087,0,gameplay-adaptive,25087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,50091,2,30087,0,gameplay-adaptive,28087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,53075,2,33071,0,gameplay-adaptive,31071,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,56092,2,36088,0,gameplay-adaptive,34088,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,59091,2,39087,0,gameplay-adaptive,37087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,62091,2,42087,0,gameplay-adaptive,40087,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,65093,2,45089,0,gameplay-adaptive,43089,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,68074,2,48070,0,gameplay-adaptive,46070,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,71092,2,51088,0,gameplay-adaptive,49088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,74091,2,54087,0,gameplay-adaptive,52087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,77090,2,57086,0,gameplay-adaptive,55086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,80091,2,60087,0,gameplay-adaptive,58087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,83090,2,63086,0,gameplay-adaptive,61086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,86092,2,66088,0,gameplay-adaptive,64088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,89091,2,69087,0,gameplay-adaptive,67087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,92090,2,72086,0,gameplay-adaptive,70086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,95092,2,75088,0,gameplay-adaptive,73088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,98090,2,78086,0,gameplay-adaptive,76086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,101090,2,81086,0,gameplay-adaptive,79086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,104088,2,84084,0,gameplay-adaptive,82084,dynamic-0,0,1,playing,none,whitescreen.png,complete,69
,,107090,2,87086,0,gameplay-adaptive,85086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,110091,2,90087,0,gameplay-adaptive,88087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,113090,2,93086,0,gameplay-adaptive,91086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,116090,2,96086,0,gameplay-adaptive,94086,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,119090,2,99086,0,gameplay-adaptive,97086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,122090,2,102086,0,gameplay-adaptive,100086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,125092,2,105088,0,gameplay-adaptive,103088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,128091,2,108087,0,gameplay-adaptive,106087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,131092,2,111088,0,gameplay-adaptive,109088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,134090,2,114086,0,gameplay-adaptive,112086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,137090,2,117086,0,gameplay-adaptive,115086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,140090,2,120086,0,gameplay-adaptive,118086,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,143089,2,123085,0,gameplay-adaptive,121085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,146092,2,126088,0,gameplay-adaptive,124088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,149091,2,129087,0,gameplay-adaptive,127087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,152093,2,132089,0,gameplay-adaptive,130089,dynamic-0,0,1,playing,none,whitescreen.png,complete,75
,,155090,2,135086,0,gameplay-adaptive,133086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,158091,2,138087,0,gameplay-adaptive,136087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,161092,2,141088,0,gameplay-adaptive,139088,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,164089,2,144085,0,gameplay-adaptive,142085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,167089,2,147085,0,gameplay-adaptive,145085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,170091,2,150087,0,gameplay-adaptive,148087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,173092,2,153088,0,gameplay-adaptive,151088,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,176091,2,156087,0,gameplay-adaptive,154087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,179093,2,159089,0,gameplay-adaptive,157089,dynamic-0,0,1,playing,none,whitescreen.png,complete,75
,,182091,2,162087,0,gameplay-adaptive,160087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,185091,2,165087,0,gameplay-adaptive,163087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,188089,2,168085,0,gameplay-adaptive,166085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,191089,2,171085,0,gameplay-adaptive,169085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,194089,2,174085,0,gameplay-adaptive,172085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,197090,2,177086,0,gameplay-adaptive,175086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,200090,2,180086,0,gameplay-adaptive,178086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,203089,2,183085,0,gameplay-adaptive,181085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,206090,2,186086,0,gameplay-adaptive,184086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,209090,2,189086,0,gameplay-adaptive,187086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,212089,2,192085,0,gameplay-adaptive,190085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,215089,2,195085,0,gameplay-adaptive,193085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,218089,2,198085,0,gameplay-adaptive,196085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,221089,2,201085,0,gameplay-adaptive,199085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,224091,2,204087,0,gameplay-adaptive,202087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,227089,2,207085,0,gameplay-adaptive,205085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,230089,2,210085,0,gameplay-adaptive,208085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,233091,2,213087,0,gameplay-adaptive,211087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,236091,2,216087,0,gameplay-adaptive,214087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,239090,2,219086,0,gameplay-adaptive,217086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,242088,2,222084,0,gameplay-adaptive,220084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,245088,2,225084,0,gameplay-adaptive,223084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,248089,2,228085,0,gameplay-adaptive,226085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,251090,2,231086,0,gameplay-adaptive,229086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,254092,2,234088,0,gameplay-adaptive,232088,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,257088,2,237084,0,gameplay-adaptive,235084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,260089,2,240085,0,gameplay-adaptive,238085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,263088,2,243084,0,gameplay-adaptive,241084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,266090,2,246086,0,gameplay-adaptive,244086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,269088,2,249084,0,gameplay-adaptive,247084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,272088,2,252084,0,gameplay-adaptive,250084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,275089,2,255085,0,gameplay-adaptive,253085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,278088,2,258084,0,gameplay-adaptive,256084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,281088,2,261084,0,gameplay-adaptive,259084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,284088,2,264084,0,gameplay-adaptive,262084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,287087,2,267083,0,gameplay-adaptive,265083,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,290088,2,270084,0,gameplay-adaptive,268084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,293088,2,273084,0,gameplay-adaptive,271084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,296088,2,276084,0,gameplay-adaptive,274084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,299089,2,279085,0,gameplay-adaptive,277085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,302088,2,282084,0,gameplay-adaptive,280084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,305090,2,285086,0,gameplay-adaptive,283086,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,308087,2,288083,0,gameplay-adaptive,286083,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,311087,2,291083,0,gameplay-adaptive,289083,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,314088,2,294084,0,gameplay-adaptive,292084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,317088,2,297084,0,gameplay-adaptive,295084,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,320088,2,300084,0,gameplay-adaptive,298084,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,,,,,,,,,,,,,Mean RT,71.71
,,,,,,,,,,,,,,SD RT,1.241496328